seed,sample,ranking_score
1,0,0.9253979374721264
1,1,0.9242707868413677
1,2,0.9303749695936409
1,3,0.9303882377043514
1,4,0.9278958816031659
2,0,0.9231154243382671
2,1,0.9257893624704817
2,2,0.9185240832978732
2,3,0.9302762979497304
2,4,0.9284980102139426
3,0,0.9252958815821829
3,1,0.9336384227354791
3,2,0.9305082225152347
3,3,0.9302512926510492
3,4,0.9178730985606576
4,0,0.9276382631267874
4,1,0.914728481981962
4,2,0.9268827401515596
4,3,0.920598759885174
4,4,0.9275207781487964
5,0,0.9264201468554017
5,1,0.9176661443756624
5,2,0.9292900593171886
5,3,0.9385751765290672
5,4,0.9255918252614389
6,0,0.9278676874130579
6,1,0.9230510918451785
6,2,0.9271555498725156
6,3,0.9256518649068366
6,4,0.9172230238157055
